TEAM,GP,W,L,MIN,DEFRTG,DREB,DREB%,STL,BLK,Opp PTS OFF TOV,Opp PTS 2nd CHANCE,Opp PTS FB,Opp PTS PAINT,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE,Season,Team,Less than 8ft. usage %,8-16 feet usage %,16-24 feet usage %,24+ feet usage %,Back Court Shots usage %,Avg. Shot Dis.(ft.),Opp. Avg. Shot Dis.(ft.),Avg. Made Shot Dis.(ft.),Opp. Made Avg. Shot Dis.(ft.),Avg. Missed Shot Dis.(ft.),Opp. Missed Avg. Shot Dis.(ft.),Season,Season Type,Match Count
New Orleans Hornets,82,39,43,48.5,104,30.6,74.7,6.4,4.2,16.2,13,11.9,37.8,82,39,43,3976,101.9,104,-2.2,51.7,1.29,15,29.1,74.7,51.4,15.4,47.9,52,92.62,48.5,2006-2007,New Orleans Hornets,44.2,15.4,21.61,18.65,0.13,11.14,12.24,9.23,10.29,12.67,13.89,2006-2007,REG,82
New York Knicks,82,33,49,48.8,106.3,30.7,74,6.6,3.2,18.5,13.2,10.1,38.1,82,33,49,4001,102.7,106.3,-3.6,52.8,1.09,14.8,31,74,52.7,18.1,49.4,53.9,93.14,47.1,2006-2007,New York Knicks,50.13,10.29,18.08,21.18,0.33,10.52,12.34,8.11,10.47,12.54,13.94,2006-2007,REG,82
Orlando Magic,82,40,42,48.2,101.7,29.5,73.7,6.9,5.1,18,11.6,13,34,82,40,42,3956,102,101.7,0.4,53,1.1,15.2,29.3,73.7,52,18.3,50,54.4,92.2,50.2,2006-2007,Orlando Magic,46.95,14.88,22.49,15.55,0.13,10.4,12.27,8.19,10.4,12.37,13.74,2006-2007,REG,82
Philadelphia 76ers,82,35,47,48.5,103.9,28.7,70.8,7.2,4.8,17.2,14.3,11.9,41.2,82,35,47,3976,101,103.9,-2.9,56.9,1.33,16.2,27.2,70.8,49.1,16.3,48,53,93.17,48.9,2006-2007,Philadelphia 76ers,40.39,20.63,26.15,12.52,0.31,11.02,11.73,9.04,9.55,12.69,13.6,2006-2007,REG,82
Phoenix Suns,82,61,21,48.5,103.4,31.5,71.9,6.7,4.8,16.2,15.3,10.5,42.3,82,61,21,3981,111.4,103.4,8,62.6,1.78,19.3,22.7,71.9,48.6,14.7,55.1,59,98.08,56.1,2006-2007,Phoenix Suns,37.6,13.67,20.11,28.39,0.24,12.75,12.11,10.41,10.04,15.02,13.85,2006-2007,REG,82
Portland Trail Blazers,82,32,50,48.7,107.3,28,73,6.8,4.6,18.3,12.6,13.9,41.2,82,32,50,3991,101.7,107.3,-5.6,52.6,1.22,15.1,28.2,73,50.2,16.3,48.3,53,90.85,45.9,2006-2007,Portland Trail Blazers,42.48,12.85,25.36,18.82,0.5,11.81,11.24,9.88,9.17,13.39,13.1,2006-2007,REG,82
Sacramento Kings,82,33,49,48.3,105.2,29.2,72.5,8.2,3.2,15.5,12.8,12.5,41.9,82,33,49,3961,103.6,105.2,-1.7,56.6,1.39,15.9,23.1,72.5,47.3,14.9,49.1,54.5,97.23,48.5,2006-2007,Sacramento Kings,40.19,11.11,25.54,23.03,0.14,12.33,12.19,10.36,10.02,13.95,14.13,2006-2007,REG,82
San Antonio Spurs,82,58,24,48.2,97.4,31.4,75.7,7.2,5.1,15.3,12.4,10.8,38.9,82,58,24,3956,106.7,97.4,9.2,60.5,1.6,17.9,24.2,75.7,51,15,52.1,56.1,91.97,56.9,2006-2007,San Antonio Spurs,40.81,14.32,20.49,24.22,0.16,12.19,11.14,10.09,9.51,14.08,12.43,2006-2007,REG,82
Seattle SuperSonics,82,31,51,48.4,107.5,28.3,70.9,7.7,3.7,17.7,14.7,12.6,43.6,82,31,51,3966,104.1,107.5,-3.4,55.6,1.34,16.2,27.8,70.9,49.2,16.2,49.9,54.4,94.34,47.4,2006-2007,Seattle SuperSonics,42.92,18.13,17.04,21.66,0.26,11.47,11.67,9.48,9.29,13.17,13.82,2006-2007,REG,82
Toronto Raptors,82,47,35,48.2,103.2,30.2,74.5,7.1,3.9,15.1,12.6,11.7,40,82,47,35,3951,105,103.2,1.8,60.1,1.65,17.6,22.2,74.5,48.1,14.2,50.4,55,94.73,51.4,2006-2007,Toronto Raptors,35.02,15.3,27.33,22.1,0.24,12.78,12.15,10.93,10.02,14.38,13.99,2006-2007,REG,82
Utah Jazz,82,51,31,48.3,104.7,30,75.1,7,4.1,17.5,11.1,12.2,38.2,82,51,31,3961,106.7,104.7,2,65.9,1.58,18.6,31.7,75.1,53.4,16.4,50.2,55.1,94.06,53.1,2006-2007,Utah Jazz,43.95,14,25.76,16.06,0.23,11.03,12.12,9.02,9.82,12.84,14.04,2006-2007,REG,82
Washington Wizards,82,41,41,48.4,108,29,71,7.7,4.6,16.1,14.4,13.3,41.6,82,41,41,3966,106.7,108,-1.3,54.1,1.47,15.5,28.1,71,48.9,14.1,49.1,54.2,96.73,48.5,2006-2007,Washington Wizards,39.1,10.31,26.88,23.48,0.22,12.76,12.12,10.6,10.14,14.53,13.89,2006-2007,REG,82
Atlanta Hawks,82,26,56,48.5,108.3,27.2,69.5,7.2,4.8,18.1,15.2,12,44.4,82,26,56,3976,103.8,108.3,-4.5,55.2,1.27,15.7,31.4,69.5,49.9,16.7,48.6,53.4,92.99,46.2,2005-2006,Atlanta Hawks,45.15,14.04,23.03,17.53,0.25,11,10.76,9.27,8.87,12.43,12.5,2005-2006,REG,82
Boston Celtics,82,33,49,48.5,104,29.7,72.8,7,5.1,18.9,13.2,10.9,39.7,82,33,49,3976,102.5,104,-1.5,58.1,1.26,16.6,25.5,72.8,49.7,17.3,50.4,55.1,94.66,48.5,2005-2006,Boston Celtics,43.57,13.33,22.71,20.11,0.29,11.55,11.43,9.76,9.55,13.12,12.99,2005-2006,REG,82
Charlotte Bobcats,82,26,56,48.5,104.2,27.7,70.7,10,4.3,15.5,13.5,11.4,43.4,82,26,56,3981,99.5,104.2,-4.7,58,1.47,16.1,27.1,70.7,47.5,14.6,46.4,50.9,95.98,46.3,2005-2006,Charlotte Bobcats,41.58,13.93,26.09,18.05,0.34,11.56,11.13,9.48,9.07,13.15,13.02,2005-2006,REG,82
Chicago Bulls,82,41,41,48.5,100.2,31.7,74.7,6.2,4.2,16.3,13.1,10.6,32.2,82,41,41,3981,101.3,100.2,1,60.1,1.47,17,26.3,74.7,50.6,15.5,48.7,52.7,95.68,50.1,2005-2006,Chicago Bulls,37.01,14.1,26.97,21.64,0.28,12.65,12.81,11.12,10.94,13.88,14.2,2005-2006,REG,82
Cleveland Cavaliers,82,50,32,48.4,102.6,30.6,75.7,6.9,4.8,15.6,11.9,10.8,37.2,82,50,32,3966,105.2,102.6,2.5,53.6,1.37,15.4,28.4,75.7,51.8,14.9,49.2,53.8,92.16,51,2005-2006,Cleveland Cavaliers,43.89,13.55,19.71,22.57,0.28,11.49,12.01,9.15,10.27,13.44,13.46,2005-2006,REG,82
Dallas Mavericks,82,60,22,48.5,101.9,29.6,72.2,7.2,6,14,12.8,12.3,35.9,82,60,22,3976,108.7,101.9,6.8,50,1.32,14.8,31.8,72.2,52.4,14.9,49.5,55,90.33,55.1,2005-2006,Dallas Mavericks,38.6,22.13,21.8,17.1,0.36,11.49,11.53,10.16,9.89,12.63,12.83,2005-2006,REG,82
Denver Nuggets,82,44,38,48.6,102.1,30.3,72,8.5,5.6,16.7,14.2,14.2,41.1,82,44,38,3986,102.8,102.1,0.7,62.4,1.58,17.7,26.8,72,49.7,15.2,48.8,53.5,96.6,51.2,2005-2006,Denver Nuggets,43.23,12.66,28,15.77,0.34,11.06,12.07,8.78,9.94,13.02,13.84,2005-2006,REG,82
Detroit Pistons,82,64,18,48.4,100.2,28.6,71.2,7.1,6,13.5,12.6,11.4,40.1,82,64,18,3966,107.7,100.2,7.6,66.1,2.12,19.1,28.9,71.2,49.8,12.6,49.7,53.5,89.28,55.7,2005-2006,Detroit Pistons,32.36,20.65,24.84,22.06,0.09,12.82,11.01,11.09,8.98,14.26,12.68,2005-2006,REG,82
Golden State Warriors,82,34,48,48.4,103.5,30.3,71.6,7.4,4.3,16.1,13.7,13.3,40.8,82,34,48,3966,101.9,103.5,-1.6,57.6,1.47,16,26.9,71.6,48.7,14.6,47.9,52.1,95.82,47.5,2005-2006,Golden State Warriors,41.3,10.57,21.19,26.72,0.22,12.67,11.95,10.39,9.78,14.42,13.78,2005-2006,REG,82
Houston Rockets,82,34,48,48.4,100.6,31.3,74.6,7.2,3.9,15.2,11.6,10.2,30.1,82,34,48,3966,98.9,100.6,-1.7,58.3,1.32,16,25.5,74.6,50.5,16,47.1,51.9,90.39,49,2005-2006,Houston Rockets,38.66,16.28,22.52,22.36,0.18,12.23,13.07,10.22,11.47,13.77,14.28,2005-2006,REG,82
Indiana Pacers,82,41,41,48.1,99.9,31.2,72.6,7.3,5,16.2,13.1,11.1,37.9,82,41,41,3946,101.6,99.9,1.7,58.5,1.3,16.1,27.1,72.6,50.5,16.5,48.7,53.3,92.05,51.4,2005-2006,Indiana Pacers,38.57,17.11,19.84,24.21,0.27,12.44,11.31,10.37,9.71,14.09,12.55,2005-2006,REG,82
Los Angeles Clippers,82,47,35,48.3,100.7,33,75.9,6.5,6.1,15.7,12.5,9.8,39,82,47,35,3961,102.9,100.7,2.3,57.1,1.44,16.6,25.4,75.9,51.8,15.3,48.7,54,94.11,52.3,2005-2006,Los Angeles Clippers,37.09,25.74,24.2,12.7,0.27,11.49,11.56,9.89,9.74,12.88,12.96,2005-2006,REG,82
Los Angeles Lakers,82,45,37,48.4,102.6,30.3,73.6,7.7,4.3,14,13.2,10.1,39.1,82,45,37,3971,105.4,102.6,2.8,58,1.52,16.6,28.8,73.6,51.2,14.8,49.5,53.9,93.57,51.8,2005-2006,Los Angeles Lakers,39.34,13.85,22.84,23.7,0.27,12.45,11.81,10.28,9.79,14.24,13.46,2005-2006,REG,82
Memphis Grizzlies,82,49,33,48.4,99.2,29,72,7.3,5.4,14.8,12.6,12.3,36.3,82,49,33,3971,103,99.2,3.8,57.8,1.4,16.3,25.8,72,49.1,15.5,49.6,53.7,88.55,51.6,2005-2006,Memphis Grizzlies,44.62,11.87,17.8,25.53,0.18,11.66,11.53,9.7,9.54,13.25,13.06,2005-2006,REG,82
Miami Heat,82,52,30,48.2,101.7,32.6,76.4,6.4,5.4,16.4,11.9,12.4,35.3,82,52,30,3951,106.4,101.7,4.7,55.7,1.43,16.5,26.7,76.4,52.6,15.4,51.7,55.6,93.81,53.8,2005-2006,Miami Heat,46.51,13.17,17.69,22.31,0.31,11.04,12.36,8.45,10.65,13.41,13.7,2005-2006,REG,82
Milwaukee Bucks,82,40,42,48.4,105,29.9,74.6,7.3,3.3,16.7,12.2,12.1,39.7,82,40,42,3971,103.3,105,-1.7,59.4,1.48,16.9,27.3,74.6,50.5,15.4,49.2,53.5,93.57,48.6,2005-2006,Milwaukee Bucks,44.87,15.63,19.19,20.26,0.06,11.07,11.77,9.49,9.55,12.37,13.71,2005-2006,REG,82
Minnesota Timberwolves,82,33,49,48.4,101.7,29.5,71.3,6.8,5.7,15.5,14.5,10.2,39.6,82,33,49,3971,99.6,101.7,-2.1,59.4,1.44,17,25.2,71.3,48.9,15.7,48,52.4,91.28,50.3,2005-2006,Minnesota Timberwolves,37.22,17.56,30.41,14.46,0.35,12.08,11.18,10.13,9.29,13.72,12.66,2005-2006,REG,82
New Jersey Nets,82,49,33,48.2,99.8,31,76.3,6.8,3.4,14.7,10.7,11.3,34.4,82,49,33,3956,101.5,99.8,1.7,67.8,1.68,18.3,24,76.3,49.8,14.8,47.8,52.8,92.03,51.3,2005-2006,New Jersey Nets,38.55,12.93,25.71,22.49,0.32,12.53,12.18,10.69,10.31,13.98,13.65,2005-2006,REG,82
New Orleans Hornets,82,38,44,48.3,104.4,29,73.4,7.5,3.8,14.3,12.4,12,36.3,82,38,44,3961,100.6,104.4,-3.8,53.7,1.39,15.2,26.9,73.4,49.5,14.5,46.4,51.5,91.32,48.4,2005-2006,New Orleans Hornets,43.12,16.43,26.68,13.6,0.17,10.85,12.36,9.26,10.37,12.1,14.04,2005-2006,REG,82
New York Knicks,82,23,59,48.6,108.4,28.8,72.8,6.8,3.3,20,12.9,11.7,37,82,23,59,3986,101.1,108.4,-7.3,52,1.01,14.3,31.2,72.8,51.8,18.7,48.1,53.4,93.22,44.4,2005-2006,New York Knicks,50.23,15.06,20.61,13.78,0.31,9.74,12.51,7.99,10.38,11.2,14.38,2005-2006,REG,82
Orlando Magic,82,36,46,48.5,104.7,29.3,72.5,6.5,4.4,17.1,13.1,12.3,36.8,82,36,46,3981,103.6,104.7,-1.1,51.4,1.21,15.1,28.5,72.5,51.1,16.5,49.6,54.3,90.65,49.5,2005-2006,Orlando Magic,45.18,16.08,25.81,12.72,0.21,10.56,11.91,8.96,9.92,11.99,13.57,2005-2006,REG,82
Philadelphia 76ers,82,38,44,48.5,104.8,29.6,71.3,7.9,4.9,15.9,14.1,13.4,41.4,82,38,44,3981,103.7,104.8,-1.2,55.1,1.43,15.9,25.6,71.3,48.5,14.8,48.7,53.8,95.13,49.2,2005-2006,Philadelphia 76ers,43.37,18.9,22.03,15.54,0.17,10.71,11.65,8.97,9.65,12.18,13.36,2005-2006,REG,82
Phoenix Suns,82,54,28,48.7,102.9,32.3,72.1,6.7,5,14.9,14.6,11.2,41.4,82,54,28,3991,109.4,102.9,6.4,63.5,2,19.7,22.1,72.1,47.7,13.4,53.7,56.8,98.13,54.7,2005-2006,Phoenix Suns,30.78,13.8,26.17,29.06,0.18,14.01,12.29,12.03,10.41,15.82,13.86,2005-2006,REG,82
Portland Trail Blazers,82,21,61,48.1,109.4,26.9,68.2,6.5,5.3,17.3,14,12.4,38.9,82,21,61,3946,97.9,109.4,-11.5,53.4,1.24,15.2,26.6,68.2,47.1,16.2,47.4,51.1,90.09,42.4,2005-2006,Portland Trail Blazers,42.64,12.57,28.25,16.2,0.34,11.55,11.56,9.62,10.01,13.1,12.92,2005-2006,REG,82
Sacramento Kings,82,44,38,48.4,102.3,30.2,72.2,7.4,3.6,16.5,12.8,12.1,39.9,82,44,38,3966,103.9,102.3,1.6,61.8,1.52,17.4,25.4,72.2,49,15.4,49.2,54.4,94.45,51.5,2005-2006,Sacramento Kings,37.52,9.37,31.38,21.51,0.22,12.9,11.99,10.64,9.94,14.78,13.7,2005-2006,REG,82
San Antonio Spurs,82,63,19,48.3,96.9,31.1,74.2,6.6,5.7,13.1,11.8,11,39.1,82,63,19,3961,105.2,96.9,8.3,57.4,1.52,17.1,26,74.2,50.7,15.1,51.3,54.6,90.65,55.4,2005-2006,San Antonio Spurs,44.07,15.04,19.49,21.22,0.17,11.42,10.48,9.45,8.88,13.19,11.71,2005-2006,REG,82
Seattle SuperSonics,82,35,47,48.4,111.3,27.2,69,7.6,3.7,17.6,15.3,13.3,42.8,82,35,47,3966,107.4,111.3,-3.9,55.1,1.4,16.1,30.4,69,49.4,15.4,50.4,55.1,94.47,46.7,2005-2006,Seattle SuperSonics,41.07,16.23,18.43,23.92,0.36,12.15,11.78,10.32,9.73,13.69,13.72,2005-2006,REG,82
Toronto Raptors,82,27,55,48.7,109.7,27.9,73.3,6.5,3.3,15,12.9,12.4,43,82,27,55,3991,106.7,109.7,-3,52.9,1.49,15.6,25.4,73.3,48.3,13.8,50,54.8,93.45,45.9,2005-2006,Toronto Raptors,36.99,17.25,21.42,24.08,0.26,12.49,11.5,10.88,9.47,13.83,13.46,2005-2006,REG,82
Utah Jazz,82,41,41,48.5,104.5,29,73.2,6.4,6,17.6,12.5,12.6,34.6,82,41,41,3976,100.8,104.5,-3.6,64.6,1.37,17.1,32.4,73.2,52.6,17.2,46.7,51.9,90.35,49.7,2005-2006,Utah Jazz,42.11,13.31,29.76,14.61,0.21,11.34,12.23,9.33,10.61,12.94,13.55,2005-2006,REG,82
Washington Wizards,82,42,40,48.4,104.7,28.6,70.9,8,4.1,15.9,13.1,12.5,40.4,82,42,40,3966,106,104.7,1.3,51.2,1.33,14.6,29.5,70.9,49.5,14.5,48.4,53.8,94.88,50.3,2005-2006,Washington Wizards,42.02,12.33,24.73,20.73,0.18,12.15,11.94,10.04,9.89,13.86,13.72,2005-2006,REG,82
Atlanta Hawks,82,13,69,48.4,108.4,28.5,72.1,7.7,4.2,18.5,13.6,13.1,41.4,82,13,69,3971,97.9,108.4,-10.5,54.9,1.22,15.4,30.7,72.1,50.4,17,46.4,50.4,93.8,42.2,2004-2005,Atlanta Hawks,48.5,16.55,20.37,14.24,0.34,10.05,11.09,8.15,9.32,11.54,12.71,2004-2005,REG,82
Boston Celtics,82,45,37,48.5,103.3,29.7,70.1,8.1,5.2,17.7,15,12.4,39.5,82,45,37,3976,104.8,103.3,1.5,59.4,1.4,17,27.2,70.1,49.1,16.4,50.1,55.1,95.92,50.5,2004-2005,Boston Celtics,45.56,13.99,21.24,18.95,0.25,10.96,11.63,9,9.63,12.69,13.23,2004-2005,REG,82
Charlotte Bobcats,82,18,64,48.5,104.7,28.5,70.9,8.5,5.4,16.6,13.1,14,40.8,82,18,64,3976,98,104.7,-6.8,60.6,1.51,16.7,29.5,70.9,49.1,15.1,45.5,49.7,95,46,2004-2005,Charlotte Bobcats,38.97,18.84,29.39,12.67,0.13,11.38,11.05,9.87,9.25,12.52,12.6,2004-2005,REG,82
Chicago Bulls,82,47,35,48.4,97.5,31.6,72.6,7,4.5,17.2,12.6,10.3,33.3,82,47,35,3966,98.5,97.5,1,61.2,1.27,16.4,28.4,72.6,50.6,17.4,47.1,51.7,95.11,49.8,2004-2005,Chicago Bulls,39.49,17.4,21.44,21.51,0.17,11.94,12.31,10.28,10.49,13.2,13.64,2004-2005,REG,82
Cleveland Cavaliers,82,42,40,48.4,102.5,28.7,71.5,8,5.6,15.3,13.2,12.6,37.9,82,42,40,3971,103.2,102.5,0.7,61.9,1.62,17.4,32.5,71.5,51.5,14.9,47,51.8,92.62,51,2004-2005,Cleveland Cavaliers,43.19,20.01,23.25,13.43,0.12,10.74,11.24,8.81,9.75,12.31,12.46,2004-2005,REG,82
Dallas Mavericks,82,58,24,48.1,101,30.9,70.2,8.6,5.6,15,14.5,13.7,39.8,82,58,24,3946,107.5,101,6.4,52.6,1.46,15.4,28.6,70.2,49.9,14.1,49.2,54.5,95.33,53.7,2004-2005,Dallas Mavericks,38.39,18.29,24.18,18.8,0.33,11.92,11.52,10.15,9.41,13.42,13.17,2004-2005,REG,82
Denver Nuggets,82,49,33,48.2,100.7,30.2,71.7,9.1,6,16,14,13,39.2,82,49,33,3951,103.4,100.7,2.7,64.5,1.6,18.1,28.4,71.7,50.2,15.5,48.3,53.5,96.13,53.1,2004-2005,Denver Nuggets,43.93,14.48,27.39,13.85,0.35,10.77,11.92,8.36,9.79,12.82,13.64,2004-2005,REG,82
Detroit Pistons,82,54,28,48.7,97.9,30.6,73,7,6.1,14.5,12.1,12.3,35,82,54,28,3991,102.8,97.9,4.8,62.7,1.58,17.4,31.2,73,52.3,15.2,47.2,51.9,89.83,54.2,2004-2005,Detroit Pistons,39.92,22.33,21.49,16.1,0.16,11.08,11.8,9.28,9.93,12.51,13.21,2004-2005,REG,82
Golden State Warriors,82,34,48,48.5,104,29.7,69.7,7.8,5.1,15.7,15,13,43,82,34,48,3981,101.9,104,-2,59.8,1.63,16.7,27.8,69.7,47.8,14,47.5,51.2,95.85,47.3,2004-2005,Golden State Warriors,38.41,11.62,24.75,25.06,0.16,12.92,11.44,10.93,9.66,14.42,12.95,2004-2005,REG,82
Houston Rockets,82,51,31,48.4,98.9,31.7,74.5,6.9,4.6,15.1,11.5,10.1,30.9,82,51,31,3971,103.2,98.9,4.3,60.9,1.53,17.1,26.3,74.5,51,15,48.6,53.4,91.28,52.7,2004-2005,Houston Rockets,34.91,15.84,25.61,23.4,0.23,13.04,12.78,11.25,11.07,14.46,14.04,2004-2005,REG,82
Indiana Pacers,82,44,38,48.5,101.9,29.5,71.3,7.5,4.4,14.4,12.5,10.9,35.3,82,44,38,3981,102.4,101.9,0.5,55.8,1.27,15.2,26.4,71.3,49.2,15.8,47.6,53.4,89.63,50.4,2004-2005,Indiana Pacers,37.11,17.55,19.95,25.2,0.2,12.72,11.53,10.74,10.03,14.22,12.71,2004-2005,REG,82
Los Angeles Clippers,82,37,45,48.9,103.4,29.9,71.3,7.3,5.1,17.5,12.9,10,39.3,82,37,45,4006,102.2,103.4,-1.2,65,1.47,18,30.3,71.3,51.5,16.8,47.7,53.3,91.85,51.8,2004-2005,Los Angeles Clippers,40.56,19.96,28.97,10.22,0.28,11.05,11.63,9.34,9.96,12.51,12.97,2004-2005,REG,82
Los Angeles Lakers,82,34,48,48.2,108,30.6,71.1,6.2,4.2,16.9,14.7,13,39.8,82,34,48,3956,104.9,108,-3.1,57.8,1.42,16.1,29.5,71.1,50.4,15.2,48.5,53.5,93.65,46.8,2004-2005,Los Angeles Lakers,41.82,12.05,18.83,26.79,0.51,12.35,12.25,10.26,10.43,13.97,13.77,2004-2005,REG,82
Memphis Grizzlies,82,45,37,48.1,99.9,28.1,69.9,8.5,5.8,15.7,14.1,12.4,34.4,82,45,37,3941,102.5,99.9,2.7,61.2,1.43,17,27.1,69.9,48.6,16,48.9,53.5,91.08,51.5,2004-2005,Memphis Grizzlies,47.23,11.5,17.6,23.36,0.3,11.09,11.64,9.09,10.05,12.7,12.85,2004-2005,REG,82
Miami Heat,82,59,23,48.7,99.8,32.2,74.1,6.4,5.8,14.9,12.9,11.6,34.1,82,59,23,3996,108.2,99.8,8.4,57.8,1.59,17.3,27,74.1,51.5,14.6,52.4,55.9,93.09,55.6,2004-2005,Miami Heat,43.18,15.2,21.88,19.58,0.16,11.14,12.33,9.09,10.81,13.09,13.47,2004-2005,REG,82
Milwaukee Bucks,82,30,52,48.2,106.7,29.3,72,6.5,3.5,16.2,13.6,15,41.9,82,30,52,3956,103.4,106.7,-3.3,58,1.52,16.5,29,72,50.3,14.7,47.5,52.7,93.47,47.8,2004-2005,Milwaukee Bucks,42.43,21.16,22.37,13.88,0.17,10.72,11.55,9.28,9.3,11.9,13.5,2004-2005,REG,82
Minnesota Timberwolves,82,44,38,48.2,103.7,31.5,71.4,5.6,5.5,15.2,13.7,11.6,38.6,82,44,38,3951,104.9,103.7,1.2,63,1.78,18.4,28.6,71.4,51,14.3,48.9,53.4,91.7,51.8,2004-2005,Minnesota Timberwolves,32.01,22.3,28.44,17,0.24,12.79,11.59,11.18,9.79,14.16,12.99,2004-2005,REG,82
New Jersey Nets,82,42,40,48.5,100.4,29.1,73.2,7.9,3.8,14.8,12.6,11.2,32,82,42,40,3981,98.3,100.4,-2.1,64.4,1.52,17.3,25.5,73.2,49,15.3,46.3,51.2,91.73,49,2004-2005,New Jersey Nets,36.43,15.11,29.8,18.39,0.27,12.53,12.37,11.1,10.95,13.61,13.48,2004-2005,REG,82
New Orleans Hornets,82,18,64,48.6,105.1,27.8,70.7,6.7,3.8,17.5,13.6,11.7,36.7,82,18,64,3986,95.9,105.1,-9.1,63.4,1.42,16.7,29.1,70.7,49,16.1,44.6,49.3,90.39,43.7,2004-2005,New Orleans Hornets,36.79,15.43,27.74,19.87,0.17,12.25,12.13,10.42,10.14,13.55,13.78,2004-2005,REG,82
New York Knicks,82,33,49,48.5,106.5,29.2,71.2,7.7,3.2,16.6,13.5,12.4,40,82,33,49,3976,103,106.5,-3.5,55.9,1.38,16,28.3,71.2,49.6,15.5,48.5,53.1,93.08,47.5,2004-2005,New York Knicks,40.07,16.09,25.11,18.38,0.35,11.76,11.49,10,9.55,13.2,13.18,2004-2005,REG,82
Orlando Magic,82,36,46,48.1,104.2,31,71.3,7.7,5.4,17.9,14.2,14.7,40.9,82,36,46,3941,102.1,104.2,-2.1,52.2,1.2,14.9,29.9,71.3,50.9,16.5,47.8,52.9,97.42,48.9,2004-2005,Orlando Magic,40.14,18.61,27.61,13.51,0.14,11.24,11.48,9.44,9.6,12.74,13.03,2004-2005,REG,82
Philadelphia 76ers,82,43,39,48.4,101.5,30.9,72.7,9.2,3.9,17.4,13.4,10.1,35,82,43,39,3971,100.8,101.5,-0.7,58,1.34,16,25.4,72.7,48.8,15.8,47.5,52.8,97.54,49.3,2004-2005,Philadelphia 76ers,41.32,15.89,21.26,21.39,0.14,11.65,12.6,9.66,10.59,13.2,14.2,2004-2005,REG,82
Phoenix Suns,82,62,20,48.2,103.7,32.3,68.3,7,5.5,15.9,17.4,12,43.2,82,62,20,3956,111.9,103.7,8.2,57.5,1.71,17.5,27.5,68.3,48.9,13.9,53.4,57.1,98.62,54.6,2004-2005,Phoenix Suns,37.08,16.81,17.28,28.44,0.38,12.61,12.02,10.54,9.9,14.5,13.71,2004-2005,REG,82
Portland Trail Blazers,82,27,55,48.1,104.5,29.3,67.7,7.1,6.6,17.7,15.8,14.3,41.7,82,27,55,3946,100.1,104.5,-4.4,59.5,1.32,16.7,29.6,67.7,49.4,17.2,48.4,52.4,92.6,47.5,2004-2005,Portland Trail Blazers,45.99,14.54,21.48,17.77,0.22,10.81,11.2,8.78,9.34,12.48,12.71,2004-2005,REG,82
Sacramento Kings,82,50,32,48.4,105,29.9,69,8.2,3.9,15.2,15,12.9,42.9,82,50,32,3971,107.5,105,2.5,62.6,1.87,18.3,28.8,69,48.9,13.6,49.6,54.1,95.72,52.2,2004-2005,Sacramento Kings,35.32,10.96,33.66,19.88,0.17,13.04,11.63,11.23,9.49,14.58,13.45,2004-2005,REG,82
San Antonio Spurs,82,59,23,48.3,95.8,30.4,73.6,7.5,6.6,14.6,12.3,10.9,37.2,82,59,23,3961,104.9,95.8,9.1,60.6,1.57,17.2,29.1,73.6,51.3,15,49.2,53.4,91.42,56.5,2004-2005,San Antonio Spurs,44.91,16.25,17.35,21.29,0.2,11.19,10.69,9.16,9.28,12.87,11.73,2004-2005,REG,82
Seattle SuperSonics,82,52,30,48.2,106.1,28.2,71.3,6.7,4.1,15.4,13.6,12.1,39.8,82,52,30,3951,108.1,106.1,2,51.6,1.34,14.8,32.4,71.3,51.9,14.8,49.5,54.6,90.99,50.4,2004-2005,Seattle SuperSonics,40.12,15.34,16.5,27.73,0.31,12.49,11.67,10.5,9.48,14.08,13.52,2004-2005,REG,82
Toronto Raptors,82,33,49,48.3,105.9,29.8,71.1,7.6,3.9,15.3,13.8,11.7,41.9,82,33,49,3961,104.5,105.9,-1.3,56.6,1.54,16.2,23.7,71.1,47,13.9,49.2,53.9,94.97,47.9,2004-2005,Toronto Raptors,37.44,16.7,20.71,24.86,0.29,12.51,11.26,11.02,9.41,13.7,12.89,2004-2005,REG,82
Utah Jazz,82,26,56,48.2,107,27.4,72.3,6.6,4.6,17.8,12.1,13.4,35.6,82,26,56,3956,101.1,107,-5.9,64.6,1.41,17.5,31.9,72.3,51.6,17.1,46.9,52.2,91.01,47.5,2004-2005,Utah Jazz,40.25,16.46,31.47,11.54,0.29,11.29,12.41,9.44,10.26,12.79,14.23,2004-2005,REG,82
Washington Wizards,82,45,37,48.2,104.2,29,70,8.7,4.2,15.8,14.8,12.2,40.7,82,45,37,3956,104,104.2,-0.2,52.7,1.33,14.7,31.1,70,49.9,14.8,47.4,52.3,96.18,48.5,2004-2005,Washington Wizards,41.88,15.46,20.64,21.77,0.25,12.07,12.06,9.99,10,13.69,13.82,2004-2005,REG,82
