city,state,zipcode,county,employer_name,case_number
SACRAMENTO ,CALIFORNIA ,95819 ,SACRAMENTO ,"CALIFORNIA STATE UNIVERSITY, SACRAMENTO ",I-200-16228-336203 
SACRAMENTO ,CALIFORNIA ,95819 ,SACRAMENTO ,"CALIFORNIA STATE UNIVERSITY, SACRAMENTO ",I-200-16215-303715 
CHARLOTTE ,NORTH CAROLINA ,28202 ,MECKLENBURG ,"METRICSTREAM, INC. ",I-200-16344-488410 
PALO ALTO ,CALIFORNIA ,94303 ,CA ,"METRICSTREAM, INC. ",I-200-16291-593802 
DETROIT ,MICHIGAN ,48226 ,WAYNE ,"METRICSTREAM, INC. ",I-200-16270-672296 
PALO ALTO ,CALIFORNIA ,94303 ,SANTA CLARA ,"METRICSTREAM, INC. ",I-200-16263-920795 
PALO ALTO ,CALIFORNIA ,94303 ,CA ,"METRICSTREAM, INC. ",I-200-16225-720772 
NEW YORK ,NEW YORK ,10005 ,NEW YORK ,"METRICSTREAM, INC. ",I-200-16210-033444 
CHICAGO ,ILLINOIS ,60661 ,COOK ,HUMANA INSURANCE COMPANY ,I-200-16270-688200 
TAMPA ,FLORIDA ,33610 ,HILLSBOROUGH ,HUMANA INSURANCE COMPANY ,I-200-16235-166698 
GREEN BAY ,WISCONSIN ,54344 ,BROWN ,HUMANA INSURANCE COMPANY ,I-200-16176-596652 
FISHERS ,INDIANA ,46038 ,HAMILTON ,HUMANA INSURANCE COMPANY ,I-200-16131-585937 
AUSTIN ,TEXAS ,78753 ,TRAVIS ,"RACKSPACE US, INC ",I-200-16300-699690 
CONCORD ,NORTH CAROLINA ,28027 ,CABARRUS ,"RACKSPACE US, INC ",I-200-16288-285841 
SAN FRANCISCO ,CALIFORNIA ,94107 ,SAN FRANCISCO ,"RACKSPACE US, INC. ",I-200-16215-206054 
SAN ANTONIO ,TEXAS ,78218 ,BEXAR ,"RACKSPACE US, INC. ",I-200-16196-865246 
SAN ANTONIO ,TEXAS ,78218 ,BEXAR ,"RACKSPACE US, INC. ",I-200-16196-754983 
SAN ANTONIO ,TEXAS ,78218 ,BEXAR ,"RACKSPACE US, INC. ",I-200-16189-838479 
OVERLAND PARK ,KANSAS ,66210 ,JOHNSON ,"RACKSPACE US, INC. ",I-200-16187-568909 
SAN ANTONIO ,TEXAS ,78218 ,BEXAR ,"RACKSPACE US, INC. ",I-200-16174-725726 
SAN ANTONIO ,TEXAS ,78218 ,BEXAR ,"RACKSPACE US, INC. ",I-200-16168-747322 
SAN ANTONIO ,TEXAS ,78218 ,BEXAR ,"RACKSPACE US, INC. ",I-200-16152-981256 
SAN ANTONIO ,TEXAS ,78218 ,BEXAR ,"RACKSPACE US, INC. ",I-200-16155-822420 
SAN ANTONIO ,TEXAS ,78218 ,BEXAR ,"RACKSPACE US, INC. ",I-200-16145-863489 
AUSTIN ,TEXAS ,78753 ,TRAVIS ,"RACKSPACE US, INC. ",I-200-16152-071365 
SAN ANTONIO ,TEXAS ,78218 ,BEXAR COUNTY ,"RACKSPACE US, INC. ",I-200-16141-704332 
SAN ANTONIO ,TEXAS ,78218 ,BEXAR ,"RACKSPACE US, INC. ",I-200-16130-511946 
AUSTIN ,TEXAS ,78753 ,TRAVIS ,"RACKSPACE US, INC. ",I-200-16102-730021 
